Model,Subject,Causal5_F1_Macro,Params_M
InceptionTime1D,9,0.8248145176742605,0.503217
InceptionTime1D,10,0.7954790639172639,0.503217
InceptionTime1D,11,0.7463286419446908,0.503217
InceptionTime1D,12,0.6808210508804631,0.503217
InceptionTime1D,13,0.815056387567328,0.503217
InceptionTime1D,14,0.6852186663712994,0.503217
InceptionTime1D,15,0.8152908005313825,0.503217
InceptionTime1D,16,0.7572671399900145,0.503217
InceptionTime1D,17,0.7433711470640347,0.503217
InceptionTime1D,18,0.750833154794965,0.503217
InceptionTime1D,19,0.8159605797333651,0.503217
InceptionTime1D,20,0.7840996081319829,0.503217
InceptionTime1D,21,0.8065978093991029,0.503217
InceptionTime1D,22,0.7898154843097434,0.503217
InceptionTime1D,23,0.8255804060269047,0.503217
InceptionTime1D,24,0.6496553077696626,0.503217
InceptionTime1D,25,0.7894310674800528,0.503217
InceptionTime1D,26,0.7703259782799483,0.503217
InceptionTime1D,27,0.7663276577000889,0.503217
InceptionTime1D,28,0.7263917342436877,0.503217
InceptionTime1D,29,0.7510546817822057,0.503217
InceptionTime1D,30,0.7954897170987274,0.503217
InceptionTime1D,31,0.6968798438523616,0.503217
InceptionTime1D,32,0.7264899312115621,0.503217
InceptionTime1D,33,0.8805316582579318,0.503217
InceptionTime1D,34,0.8152786753511135,0.503217
InceptionTime1D,35,0.7706433703372756,0.503217
InceptionTime1D,36,0.7174073864660785,0.503217
InceptionTime1D,37,0.7985890821324633,0.503217
InceptionTime1D,38,0.732003446225209,0.503217
InceptionTime1D,39,0.7933021168641553,0.503217
InceptionTime1D,40,0.858266347137878,0.503217
